start_station_name,member_casual,number_of_rides
Public Rack - Greenwood Ave & Lake Park Ave,member,10
Public Rack - Hamilton Ave & 95th St,casual,10
Public Rack - Harvey Ave & North Ave,casual,10
Public Rack - Homan Ave & 26th St,casual,10
Public Rack - Kedzie Ave & 63rd St,member,10
Public Rack - Longwood Dr & 111th St,member,10
Public Rack - Menard Ave & Belmont Ave,casual,10
Public Rack - Menard Ave & Grand Ave,member,10
Public Rack - Michele Clark Magnet High School,casual,10
Public Rack - Milwaukee Ave & Culyer Ave,member,10
Public Rack - Milwaukee Ave & Higgins Ave,casual,10
Public Rack - Narragansett Ave & Fullerton Ave,member,10
Public Rack - Neva & Foster,member,10
Public Rack - Penn Elementary School / KIPP Ascend Middle School,casual,10
Public Rack - Rockwell & 111th St,casual,10
Public Rack - Western Ave & 105th St,casual,10
Pulaski Rd & Fullerton Ave,casual,10
Racine Ave & 61st St,member,10
Racine Ave & 65th St,member,10
Washtenaw Ave & 63rd St,casual,10
Western Ave & 104th St - East,casual,10
63rd & Western Ave - north corner,casual,11
Divvy Valet - Oakwood Beach,casual,11
Eggleston Ave & 92nd St,member,11
Hastings LWS,casual,11
Kolin Ave & Archer Ave,casual,11
La Villita Park (Albany/30th),member,11
Milwaukee Ave & Addison St,member,11
Parkside Ave & Armitage Ave,member,11
Public Rack - Chase Ave & Touhy Ave - NE,member,11
Public Rack - Christiana Ave & Bryn Mawr Ave,casual,11
Public Rack - Fairfield Ave & 63rd St,casual,11
Public Rack - Harvard Ave & 119th St,casual,11
Public Rack - Langley Ave & 79th St,member,11
Public Rack - N Narragansett Ave & Grand Ave,member,11
Public Rack - Western Ave & 96th St,member,11
Pullman - Walmart,casual,11
Racine Ave & 74th St,member,11
Racine Ave & 76th,casual,11
S Wentworth Ave & W 111th St,member,11
Tripp Ave & 65th St,member,11
Western Ave & 111th St - SE,casual,11
Albany Ave & Douglas Blvd,member,12
California Ave & 29th St,casual,12
Christiana Ave & Belmont Ave,casual,12
Cottage Grove & 86th St,casual,12
Indiana Ave & 133rd St,casual,12
Lafayette Ave & 87th St - SW,casual,12
Menard Ave & Division St,member,12
Monticello Ave & Belmont Ave,member,12
Public Rack - Calumet Ave & 51st St,casual,12
Public Rack - Central Ave & Corcoran Pl,casual,12
Public Rack - Kedzie Ave & 54th St - SE,casual,12
Public Rack - Kedzie Ave & 54th St - SE,member,12
Public Rack - Kedzie Ave & 58th St,casual,12
Public Rack - Kenneth Ave & 63rd St E,casual,12
Public Rack - Kildare Ave & North Ave,casual,12
Public Rack - Kildare Ave & North Ave,member,12
Public Rack - King Dr & Oakwood Blvd,casual,12
Public Rack - King Dr & Oakwood Blvd,member,12
Public Rack - Loomis St & 87th St,casual,12
Public Rack - N Narragansett Ave & Grand Ave,casual,12
Public Rack - Oketo Ave & Belmont Ave,member,12
Public Rack - Pulaski Rd & Roosevelt Rd,casual,12
Public Rack - Pullman - Walmart,member,12
Public Rack - Talman Ave & Pershing Rd,casual,12
Public Rack - Western Ave & 104th St - East,casual,12
Public Rack - Western Ave & 110th St,member,12
Western Ave & 62nd St,member,12
Damen Ave & 33rd St,member,13
Jeffrey Blvd & 71st St,member,13
Kedzie Ave & 63rd St,member,13
Kildare Ave & 26th St,member,13
Kildare Ave & Chicago Ave,member,13
Lowell Ave & Elston Ave,casual,13
Neva Ave & Grand Ave,member,13
Prairie Ave & 47th St - midblock,member,13
Pubic Rack - Pulaski Rd & 41st,casual,13
Public Rack - California Ave & Ogden Ave,member,13
Public Rack - Central Park Ave & Ogden Ave,casual,13
Public Rack - Cumberland & Catherine,casual,13
Public Rack - Komensky Ave & 26th St,casual,13
Public Rack - Neva Ave & Grand Ave,casual,13
Public Rack - Normal Ave & 111th St,member,13
Public Rack - Pulaski & 52nd,casual,13
Pulaski Rd & Armitage Ave,casual,13
Roscoe & Harlem,member,13
S Aberdeen St & W 106th St,member,13
S Michigan Ave & E 118th St,casual,13
Cottage Grove Ave & 111th St,member,14
Kedzie Ave & 54th St - SE,member,14
Lawndale Ave & 16th St,member,14
Neva Ave & Grand Ave,casual,14
Public Rack - Ashland Ave & 83rd St,casual,14
Public Rack - Cicero Ave & Cortland St - midblock,member,14
Public Rack - Halsted St & 95th St - SE,casual,14
Public Rack - Komensky Ave & 31st St,member,14
Public Rack - Melvina Ave & Belmont Ave,member,14
Public Rack - St Louis Ave & Berteau Ave,member,14
Public Rack - Western Ave & 100th St,casual,14
Public Rack - Western Ave & 47th Pl,casual,14
Public Rack - Wood St & 47th St,member,14
Seeley Ave & Garfield Blvd,member,14
Springfield Ave & 63rd St,casual,14
Walden Pkwy & 99th St,casual,14
532 E 43rd St,casual,15
Bell Ave & 95th St,casual,15
Carpenter St & 63rd St,member,15
Cicero Ave & Wrightwood Ave,casual,15
Greenwood Ave & Lake Park Ave,member,15
Laramie Ave & Fullerton Ave,casual,15
Lawndale Ave & Diversey Ave,member,15
Maplewood Ave & 59th St,member,15
Morgan St & 95th St,member,15
North Ave & New England Ave,member,15
Public Rack - Austin Blvd & North Ave,casual,15
Public Rack - Central Ave & George St,casual,15
Public Rack - Chase Ave & Touhy Ave - NE,casual,15
Public Rack - Eberhart Ave & 61st St,casual,15
Public Rack - Hyde Park Blvd & 53rd St,casual,15
Public Rack - Laramie Ave & Warwick Ave,member,15
Public Rack - Leclaire Ave & Division St,casual,15
Public Rack - Pulaski Rd & 65th St,casual,15
Public Rack - South Shore Dr & 71st St,member,15
Public Rack - Woodlawn Ave & 63rd St - SE,casual,15
Western Ave & 106th St - East,casual,15
532 E 43rd St,member,16
Bennett Ave & 79th St,member,16
Hamlin Ave & Montrose Ave,member,16
Michigan Ave & 114th St,member,16
Monticello Ave & Belmont Ave,casual,16
Public Rack - Fullerton Ave & Lavergne Ave,casual,16
Public Rack - Fullerton Ave & Lavergne Ave,member,16
Public Rack - Grand Ave & North Ave,member,16
Public Rack - Prairie Ave & 47th St,casual,16
Public Rack - Wood St & 103rd St,casual,16
Pulaski & 52nd,casual,16
Pulaski Rd & 60th St,member,16
Racine Ave & 109th Pl,member,16
Rockwell & 111th St,casual,16
Sacramento Blvd & Polk St,casual,16
Western Ave & 118th St,casual,16
Albany Ave & 63rd St,casual,17
Cicero Ave & Wellington Ave,member,17
Kenneth Ave & 50th St,member,17
Komensky Ave & 59th St,casual,17
Lavergne Ave & Division St,member,17
Mayfield & Roosevelt Rd,casual,17
Public Rack - Kimbark Ave & 67th St,casual,17
Public Rack - Kostner Ave & North Ave,member,17
Public Rack - Midway Orange Line,member,17
Rockwell St & 63rd St,member,17
Shabbona Park,member,17
Western Ave & 62nd St,casual,17
Wood St & 103rd St,casual,17
Hamlin Ave & Fullerton Ave,casual,18
Homan Ave & 65th St,member,18
Major Ave & Bloomingdale Ave,member,18
Prairie Ave & 47th St - midblock,casual,18
Public Rack - California Ave & Marquette Rd,casual,18
Public Rack - Cicero Ave & North Ave,member,18
Public Rack - Kedzie Ave & 61st Pl W,casual,18
Public Rack - Lake Shore Dr & Hayes Dr,member,18
Public Rack - Oketo Ave & Belmont Ave,casual,18
Rhodes Ave & 71st St,member,18
Vincennes Ave & 75th St,member,18
Western Ave & 79th St,casual,18
Kedzie Ave & 63rd St,casual,19
Long Ave & North Ave,member,19
Nagle Ave & Belmont Ave,casual,19
Panama Ave & Grace St,member,19
Public Rack - Kedvale Ave & Addison St,casual,19
Public Rack - Lawndale Ave & 63rd St,casual,19
Public Rack - Rockwell & 111th St,member,19
Public Rack - Western Ave & 92nd Pl,casual,19
Pulaski Rd & 44th St,casual,19
S Wentworth Ave & W 111th St,casual,19
Spaulding Ave & 16th St,member,19
Spaulding Ave & Evergreen Ave,member,19
Western Ave & 100th St,casual,19
Western Ave & 111th St - NW,casual,19
Augusta Blvd & Laramie Ave,member,20
Cicero Ave & Wrightwood Ave,member,20
Doty Ave & 111th St,member,20
Hamlin Ave & Grand Ave,member,20
Homewood Ave & Monterey Ave,casual,20
Kenton Ave & Palmer St,casual,20
Newcastle Ave & Belden Ave,member,20
Public Rack - California Ave & Devon Ave - NE,casual,20
Public Rack - Hoyne Ave & 110th Pl,casual,20
Public Rack - Kedvale Ave & Avondale Ave,member,20
Public Rack - Tripp Ave & North Ave,member,20
Public Rack - Western Ave & 47th Pl,member,20
Claremont Ave & 71st St,casual,21
Damen Ave & 74th St,member,21
Homewood Ave & Monterey Ave,member,21
Kedzie Ave & 61st Pl,member,21
Kimbark Ave & 67th St,member,21
Olive Harvey College,casual,21
Public Rack - Avers Ave & Archer Ave,casual,21
Public Rack - Kedzie Ave & Archer Ave,member,21
Public Rack - Sacramento Ave & Greenleaf Ave,member,21
S Aberdeen St & W 106th St,casual,21
South Chicago Ave & 83rd St,member,21
Tripp Ave & 31st St,member,21
Troy St & Jackson Blvd,member,21
Wabash Ave & 83rd St,member,21
Wood St & 47th St,member,21
Central Ave & Harrison St,member,22
Lafayette Ave & 95th St,member,22
Langley Ave & 79th St,member,22
Public Rack - 111th St - Morgan Park Metra,member,22
Public Rack - Kedzie Ave & 58th St,member,22
Public Rack - Kedzie Ave & 61st Pl E,casual,22
Public Rack - Komensky Ave & 31st St,casual,22
Public Rack - Woodlawn Ave & 63rd St - SE,member,22
Pulaski Rd & 51st Rd,casual,22
Pullman - Walmart,member,22
Avenue O & 118th St,member,23
Commercial Ave & 100th St,member,23
Kildare Ave & 55th St,member,23
Kostner Ave & 63rd St,member,23
Laramie Ave & Gladys Ave,member,23
Public Rack - Central Ave & North Ave,casual,23
Public Rack - Christiana Ave & Archer Ave,casual,23
Public Rack - Evans Ave & 63rd St,member,23
Tripp Ave & 15th St,casual,23
Tripp Ave & 15th St,member,23
Kedzie Ave & 54th St - SW,casual,24
Lawndale Ave & 111th St,member,24
Major Taylor Trail & 124th St,member,24
Public Rack - Central Ave & George St,member,24
Public Rack - Drake Ave & Leland Ave,member,24
Public Rack - Jonathan Y Scammon Public School,member,24
Public Rack - Laramie Ave & Fullerton Ave,member,24
Public Rack - St Louis Ave & Berteau Ave,casual,24
Public Rack - Tripp Ave & North Ave,casual,24
Public Rack - Western Ave & 110th St,casual,24
State St & 76th St,member,24
Vernon Ave & 107th St,member,24
Kedzie Ave & 54th St - SW,member,25
Kenton Ave & Palmer St,member,25
Kildare Ave & Division St,casual,25
Milwaukee Ave & Diversey Ave,casual,25
Panama Ave & Grace St,casual,25
Plainfield & Irving Park,member,25
Public Rack - California Ave & Devon Ave - NE,member,25
Public Rack - Cicero Ave & Altgeld St,member,25
Public Rack - Cicero Ave & Wellington Ave,casual,25
Public Rack - Lawndale Ave & 23rd St,casual,25
Public Rack - Menard Ave & Grand Ave,casual,25
Public Rack - Narragansett Ave & Fullerton Ave,casual,25
Woodlawn & 103rd - Olive Harvey Vaccination Site,member,25
Avenue O & 134th St,member,26
Avers Ave & Archer Ave,casual,26
Halsted St & 59th St,member,26
Marshfield Ave & 59th St,member,26
Oketo Ave & Addison St,member,26
Public Rack - Avers Ave & Ogden Ave,casual,26
Public Rack - Drake Ave & Leland Ave,casual,26
Public Rack - Fairfield Ave & 63rd St,member,26
Public Rack - Kedzie Ave & 62nd Pl,member,26
Public Rack - Kostner Ave & North Ave,casual,26
South Chicago Ave & Elliot Ave,casual,26
Ashland Ave & 66th St,casual,27
California Ave & 36th St,member,27
Harlem Ave & Grace St,member,27
Kedzie Ave & 54th St - SE,casual,27
Kedzie Ave & 58th St,casual,27
Lamon Ave & Chicago Ave,member,27
Marquette Ave & 79th St,casual,27
Mozart Elementary School,casual,27
Public Rack - Chopin Park,member,27
Public Rack - Cicero Ave & Wellington Ave,member,27
Public Rack - Karlov Ave & Milwaukee Ave,member,27
Public Rack - Nagle Ave & Belmont Ave,casual,27
Public Rack - South Shore Dr & 71st St,casual,27
Public Rack - Spaulding Ave & Bryn Mawr Ave,member,27
Public Rack - Western Ave & 96th St,casual,27
Richmond St & 59th St,member,27
Carpenter St & 63rd St,casual,28
N Narragansett Ave & Grand Ave,casual,28
Newcastle Ave & Belden Ave,casual,28
Public Rack - Kildare Ave & Division St,member,28
Public Rack - Kimball Ave & Carmen Ave,member,28
Public Rack - Laramie Ave & Warwick Ave,casual,28
Wentworth Ave & 104th St,casual,28
Wood St & 47th St,casual,28
Clyde Ave & 87th St,member,29
Kedzie Ave & 110th St,member,29
Public Rack - Brandon Ave & 91st St,member,29
Public Rack - Campbell Ave & Pratt Blvd,casual,29
Public Rack - Spaulding Ave & Foster Ave,member,29
Christiana Ave & Archer Ave,casual,30
Public Rack - Kedvale Ave & Avondale Ave,casual,30
Public Rack - Lafayette Ave & 95th St,casual,30
Public Rack - Prairie Ave & 47th St,member,30
Public Rack - Sacramento Ave & Greenleaf Ave,casual,30
Public Rack - Throop St & 109th Pl,member,30
Pulaski Rd & 51st Rd,member,30
Talman Ave & 51st St - midblock,member,30
Woodlawn Ave & 75th St,member,30
Meade Ave & Addison St,member,31
Milwaukee Ave & Diversey Ave,member,31
Public Rack - Calumet Ave & 51st St,member,31
Public Rack - Kimball Ave & Carmen Ave,casual,31
Public Rack - Penn Elementary School / KIPP Ascend Middle School,member,31
Public Rack - Pulaski Rd & 44th St,casual,31
Public Rack - Spaulding Ave & Bryn Mawr Ave,casual,31
Public Rack - Spaulding Ave & Foster Ave,casual,31
Rockwell St & 63rd St,casual,31
Ashland Ave & 74th St,member,32
Campbell Ave & 51st St,member,32
Damen Ave & 74th St,casual,32
Eberhart Ave & 91st St,member,32
Nagle Ave & Belmont Ave,member,32
Oak Park & Wellington,member,32
Public Rack - Kimbark Ave & 67th St,member,32
Public Rack - Pulaski Rd & Lake St,casual,32
Cicero Ave & Quincy St,member,33
Kostner Ave & Lake St,member,33
Parkside Ave & Armitage Ave,casual,33
Public Rack - Hamlin Ave & Grand Ave,member,33
Public Rack - Lafayette Ave & 95th St,member,33
Public Rack - Laramie Ave & Belmont Ave,member,33
Public Rack - Lorel Ave & Grand Ave,member,33
Sacramento Ave & 25th St,member,33
Francisco Ave & Chicago Ave,member,34
Francisco Ave & Hollywood Ave,member,34
Greenwood Ave & 79th St,member,34
Harold Washington Park,member,34
Mason Ave & Belmont Ave,member,34
Public Rack - Avondale Ave & Addison St,member,34
Public Rack - Cicero Ave & Altgeld St,casual,34
Stony Island Ave & 63rd St,casual,34
Ashland Ave & 66th St,member,35
Hamlin Ave & Grand Ave,casual,35
Midway Orange Line,member,35
Public Rack - Campbell Ave & Pratt Blvd,member,35
Public Rack - Halsted St & 95th St - SE,member,35
Public Rack - Hyde Park Blvd & 55th St,casual,35
Public Rack - Kedzie Ave & Archer Ave,casual,35
Public Rack - Sawyer Ave & Lawrence Ave,member,35
Rockwell St & 57th St,member,35
Western Ave & 28th St,member,35
Western Ave & 92nd Pl,casual,35
Ashland Ave & Garfield Blvd,member,36
Cicero Ave & Lake St,member,36
Elizabeth St & 59th St,casual,36
Lavergne Ave & Division St,casual,36
Loomis St & 87th St,member,36
Mozart St & Jackson Blvd,casual,36
Public Rack - Champlain Ave & 65th St,casual,36
St Louis Ave & Norman Bobbins Ave,member,36
Central Park Ave & Douglas Blvd,member,37
Christiana Ave & Archer Ave,member,37
Keeler Ave & Roosevelt Rd,casual,37
May St & 69th St,casual,37
Menard Ave & Division St,casual,37
Public Rack - Austin Ave & Roscoe St,casual,37
Public Rack - Chopin Park,casual,37
Public Rack - Cicero Ave & Cortland St - midblock,casual,37
Public Rack - King Dr & 115th St,casual,37
Public Rack - Linder Ave & Belmont Ave,casual,37
Public Rack - State ST & 42nd St,casual,37
Stony Island Ave & 90th St,member,37
California Ave & Marquette Rd,member,38
Greenwood Ave & 91st St,member,38
Halsted St & 59th St,casual,38
Public Rack - Fullerton Ave & Narragansett Ave,member,38
Public Rack - Sawyer Ave & Lawrence Ave,casual,38
Western Ave & 28th St,casual,38
Bloomingdale Ave & Harlem Ave,member,39
Commercial Ave & 100th St,casual,39
Harold Washington Park,casual,39
Public Rack - California Ave & Devon Ave - NW,casual,39
Public Rack - Jensen Park,casual,39
Public Rack - Woodlawn Ave & 63rd St - NE,casual,39
Torrence Ave & 106th St,member,39
Constance Ave & 95th St,member,40
Ellis Ave & 83rd St,member,40
Kildare Ave & Chicago Ave,casual,40
Lavergne Ave & 46th St,casual,40
Public Rack - Karlov Ave & Milwaukee Ave,casual,40
Western Ave & 79th St,member,40
Cicero Ave & Flournoy St,member,41
Damen Ave & 33rd St,casual,41
Dauphin Ave & 103rd St,member,41
Eggleston Ave & 92nd St,casual,41
Public Rack - California Ave & Ogden Ave,casual,41
Calumet Ave & 71st St,member,42
Damen Ave & 59th St,member,42
Nordica & Medill,member,42
Public Rack - Cicero Ave & Roscoe St,casual,42
Public Rack - Hyde Park Blvd & 53rd St,member,42
Public Rack - McCormick Blvd & Devon Ave,member,42
Public Rack - Walden Pkwy & 103rd St,casual,42
Steelworkers Park,casual,42
Stony Island Ave & 63rd St,member,42
Ashland Ave & 78th St,member,43
Brandon Ave & 91st St,member,43
Commercial Ave & 130th St,member,43
Marshfield Ave & 59th St,casual,43
Public Rack - Lake Shore Dr & Hayes Dr,casual,43
Public Rack - Laramie Ave & Grand Ave,casual,43
Western Blvd & 49th St,member,43
Damen Ave & 51st St,member,44
Menard Ave & North Ave,casual,44
Phillips Ave & 83rd St,member,44
Plainfield & Irving Park,casual,44
Public Rack - Avondale Ave & Addison St,casual,44
Public Rack - California Ave & Devon Ave - NW,member,44
Yates Blvd & 93rd St,member,44
Ada St & 113th St,casual,45
Hegewisch Metra Station,member,45
Homan Ave & Fillmore St,casual,45
Kimbark Ave & 67th St,casual,45
Public Rack - Austin Ave & Wrightwood Ave,member,45
Public Rack - California Ave & Touhy Ave - NW,member,45
Public Rack - Kostner Ave & Diversey Ave,casual,45
Public Rack - Menard Ave & Dakin St - midblock,casual,45
Troy St & Jackson Blvd,casual,45
Calumet Park,member,46
Hyde Park Blvd & 53rd St,casual,46
NewHastings,casual,46
North Ave & New England Ave,casual,46
Public Rack - California Ave & Touhy Ave - NW,casual,46
Public Rack - Cicero Ave & North Ave,casual,46
Walden Pkwy & 103rd St,casual,46
Houston Ave & 92nd St,member,47
NewHastings,member,47
Public Rack - Karlov Ave & Kamerling Ave,member,47
Public Rack - McCormick Blvd & Devon Ave,casual,47
Spaulding Ave & 16th St,casual,47
Calumet Ave & 71st St,casual,48
Indiana Ave & 103rd St,member,48
Karlov Ave & Madison St,member,48
Michigan Ave & 114th St,casual,48
Public Rack - Christiana Ave & Lawrence Ave,member,48
Public Rack - Cicero Ave & Roscoe St,member,48
Public Rack - Melvina Ave & Belmont Ave,casual,48
Throop St & 52nd St,member,48
Base - 2132 W Hubbard Warehouse,member,49
Campbell Ave & Montrose Ave (Temp),casual,49
Kedzie Ave & 61st Pl,casual,49
Lawndale Ave & 16th St,casual,49
Marquette Ave & 89th St,member,49
Public Rack - Christiana Ave & Lawrence Ave,casual,49
Public Rack - Kildare Ave & Division St,casual,49
Public Rack - Sacramento Ave & Devon Ave,member,49
Whipple St & Roosevelt Rd,casual,49
Yates Blvd & 93rd St,casual,49
Public Rack - Hyde Park Blvd & 55th St,member,50
Public Rack - Kostner Ave & Diversey Ave,member,50
Public Rack - State ST & 42nd St,member,50
Pulaski Rd & Eddy St,casual,50
Pulaski Rd & Eddy St,member,50
Rhodes Ave & 71st St,casual,50
Big Marsh Park,member,51
Francisco Ave & Chicago Ave,casual,51
Halsted St & 56th St,member,51
Kildare & Cermak,casual,51
Loomis St & Lexington St*,casual,51
Pulaski Rd & Congress Pkwy,member,51
Albany Ave & Douglas Blvd,casual,52
Augusta Blvd & Laramie Ave,casual,52
Public Rack - Grand Ave & North Ave,casual,52
Public Rack - Western Ave & Jarvis Ave,member,52
Elizabeth St & 47th St,casual,53
Homan Ave & Fillmore St,member,53
Hyde Park Blvd & 53rd St,member,53
Kildare & Cermak,member,53
Loomis St & 89th St,member,53
Public Rack - King Dr & 115th St,member,53
Racine Ave & 61st St,casual,53
Public Rack - Milwaukee Ave & Addison St,member,54
Robert Fulton Elementary School,casual,54
Sacramento Ave & 25th St,casual,54
Troy Ave & 27th St,casual,54
Francisco Ave & 47th St,member,55
Hastings LWS,member,55
Public Rack - Pulaski Rd & Fullerton Ave,member,55
Public Rack - Rockwell & Division,casual,55
Public Rack - Western Ave & Jarvis Ave,casual,55
Throop St & 52nd St,casual,55
Albany Ave & 16th St,member,56
Bradley Park,casual,56
Public Rack - Brainerd Park,member,56
Public Rack - Mozart Elementary School,member,56
Racine Ave & 65th St,casual,56
Vincennes Ave & 104th St,casual,56
Cicero Ave & Grace St,member,57
La Villita Park (Albany/30th),casual,57
Latrobe Ave & Chicago Ave,member,57
Stony Island Ave & South Chicago Ave,member,57
Lawndale Ave & 30th St,member,58
Martin Luther King Dr & 111th St,casual,58
Pulaski Rd & Lake St,member,58
Richmond St & 59th St,casual,58
Central Park Ave & Douglas Blvd,casual,59
Long Ave & North Ave,casual,59
Loomis Blvd & 84th St,casual,59
Wabash Ave & 83rd St,casual,59
Kedzie Ave & 104th St,casual,60
Oglesby Ave & 100th St,member,60
Spaulding Ave & 63rd St,casual,60
Western Ave & 104th St,member,60
Central Park & Augusta Blvd,member,61
Halsted St & 63rd St,member,61
Morgan St & Pershing Rd,casual,61
Public Rack - Pulaski Rd & Fullerton Ave,casual,61
Springfield Ave & 47th St,member,61
Summit Ave & 86th St,casual,61
Artesian Ave & 55th St,member,62
Burnham Greenway & 105th St,member,62
Halsted St & 69th St,member,62
Laramie Ave & Gladys Ave,casual,62
Michigan Ave & 71st St,member,62
Public Rack - Austin Ave & Roscoe St,member,62
Racine Ave & 109th Pl,casual,62
Stewart Ave & 63rd St,member,62
Halsted St & 104th St,member,63
Halsted St & 111th St,casual,63
Kilbourn & Belden,member,63
Oglesby Ave & 100th St,casual,63
South Chicago Ave & 83rd St,casual,63
Stony Island Ave & South Chicago Ave,casual,63
Woodlawn & 103rd - Olive Harvey Vaccination Site,casual,63
Eberhart Ave & 91st St,casual,64
Monticello Ave & Chicago Ave,casual,64
Public Rack - Champlain Ave & 65th St,member,64
Roscoe & Harlem,casual,64
Springfield Ave & 47th St,casual,64
Washtenaw Ave & Madison St,member,64
Archer Ave & 43rd St,member,65
Cicero Ave & Flournoy St,casual,65
Halsted St & 78th St,member,65
Public Rack - Harold Washington Park,casual,65
Public Rack - Jonathan Y Scammon Public School,casual,65
Campbell Ave & 51st St,casual,66
Harlem Ave & Grace St,casual,66
Prospect Sq & 91st St,member,66
Spaulding Ave & 63rd St,member,66
Lafayette Ave & 95th St,casual,67
MLK Jr Dr & 83rd St,casual,67
Major Ave & Bloomingdale Ave,casual,67
Public Rack - Avers Ave & Irving Park Rd,casual,67
Tripp Ave & 31st St,casual,67
Major Taylor Trail & 124th St,casual,68
Public Rack - Laramie Ave & Fullerton Ave,casual,68
Woodlawn Ave & 75th St,casual,68
Fairfield Ave & 44th St,member,69
Greenwood Ave & 97th St,casual,69
Kildare Ave & 55th St,casual,69
Public Rack - Rockwell Ave & Touhy Ave,casual,69
State St & 76th St,casual,69
Central Park & Augusta Blvd,casual,70
Elizabeth St & 47th St,member,70
Halsted St & 69th St,casual,70
Halsted St & 73rd St,casual,70
Laramie Ave & Kinzie St,member,70
Public Rack - Keystone Ave & Irving Park Rd,member,70
Sacramento Ave & Pershing Rd,member,70
Ashland Ave & 74th St,casual,71
Bennett Ave & 79th St,casual,71
Lamon Ave & Armitage Ave,member,71
Marquette Ave & 89th St,casual,71
Public Rack - Eli Whitney Public School,casual,71
Public Rack - Laramie Ave & Belmont Ave,casual,71
Pulaski Rd & 21st St,member,71
State St & 123rd St,casual,71
Vernon Ave & 79th St,member,71
Hale Ave & 107th St,member,72
Kedzie Ave & 52nd St,member,72
Kostner Ave & Adams St,casual,72
Narragansett & McLean,casual,72
Washtenaw Ave & Superior St,member,72
Baltimore Ave & 87th St,member,73
Base - 2132 W Hubbard Warehouse,casual,73
Halsted St & 104th St,casual,73
Public Rack - Kilbourn Ave & Fullerton Ave,member,73
Public Rack - Western Ave & Devon Ave,casual,73
Pulaski & Ann Lurie Pl,casual,73
Ashland Ave & 78th St,casual,74
Kenton Ave & Madison St,member,74
Public Rack - Austin Ave & Wrightwood Ave,casual,74
Public Rack - Christiana Ave & Archer Ave,member,74
Public Rack - Fullerton Ave & Narragansett Ave,casual,74
Public Rack - Pulaski Rd & 44th St,member,74
Public Rack - Rockwell & Division,member,74
Western & 28th - Velasquez Institute Vaccination Site,casual,74
Central Ave & Lake St,member,75
Commercial Ave & 83rd St,member,75
East End Ave & 87th St,casual,75
Loomis St & 89th St,casual,75
Narragansett & McLean,member,75
Public Rack - Hamlin Ave & Grand Ave,casual,75
Public Rack - Karlov Ave & Kamerling Ave,casual,75
Sacramento Blvd & Polk St,member,75
California & 16th St,member,76
Campbell Ave & Augusta Blvd,casual,76
Leamington Ave & Hirsch St,casual,76
Michigan Ave & 71st St,casual,76
Orange & Addison,member,76
Phillips Ave & 83rd St,casual,76
Bloomingdale Ave & Harlem Ave,casual,77
Constance Ave & 95th St,casual,77
Cottage Grove Ave & 71st St,member,77
Public Rack - Jensen Park,member,77
Public Rack - Milwaukee Ave & Addison St,casual,77
St Louis Ave & 59th St,member,77
Dauphin Ave & 103rd St,casual,78
Eberhart Ave & 131st St,casual,78
Kildare Ave & 26th St,casual,78
Public Rack - Kenton Ave & Palmer St,member,78
Public Rack - Keystone Ave & North Ave,casual,78
Public Rack - Nagle Ave & Belmont Ave,member,78
Pulaski & Ann Lurie Pl,member,78
Vincennes Ave & 104th St,member,78
Western & 28th - Velasquez Institute Vaccination Site,member,78
Elizabeth St & 92nd St,casual,79
Evans Ave & 75th St,casual,79
Public Rack - Western Blvd & 49th St,member,79
Sacramento Blvd & Fulton Ave,casual,79
Vernon Ave & 75th St,casual,79
Western Ave & Ardmore Ave,member,79
Dauphin Ave & 87th St,member,80
Greenwood Ave & 91st St,casual,80
Torrence Ave & 126th Pl,casual,80
Vincennes Ave & 75th St,casual,80
East End Ave & 87th St,member,81
Kenneth Ave & 50th St,casual,81
Major Taylor Trail & 115th St,member,81
Cottage Grove Ave & 78th St,casual,82
Halsted St & 111th St,member,82
Nordica & Medill,casual,82
Public Rack - Keystone Ave & Irving Park Rd,casual,82
Public Rack - Woodlawn Ave & 63rd St N,casual,82
Clyde Ave & 87th St,casual,83
Francisco Ave & Hollywood Ave,casual,83
Hyde Park Blvd & 55th St,member,83
Public Rack - Lockwood Ave & Diversey Ave,casual,83
Public Rack - Lorel Ave & Grand Ave,casual,83
Public Rack - Rockwell Ave & Touhy Ave,member,83
Western Ave & Lake St,member,83
MLK Jr Dr & 83rd St,member,84
Maplewood Ave & 59th St,casual,84
Stewart Ave & 83rd St,member,84
Washtenaw Ave & Madison St,casual,84
Halsted St & 56th St,casual,85
Hoyne Ave & 34th St,casual,85
Morgan St & Pershing Rd,member,85
Public Rack - Woodlawn Ave & 63rd St N,member,85
Western Blvd & 49th St,casual,85
Jeffery Blvd & 76th St,member,86
Public Rack - Kedzie Ave & Argyle St,casual,86
Public Rack - Kilbourn Ave & Fullerton Ave,casual,86
Public Rack - Milwaukee Ave & School St,member,86
Rainbow Beach,member,86
Halsted St & 73rd St,member,87
Hoyne Ave & 34th St,member,87
Public Rack - Sacramento Ave & Devon Ave,casual,87
Stony Island Ave & 82nd St,casual,87
Lawler Ave & 50th St,member,88
Loomis Blvd & 84th St,member,88
Meade Ave & Addison St,casual,88
Public Rack - Loomis St & 87th St,member,88
Ashland Ave & 50th St,casual,89
California Ave & 36th St,casual,89
Central Park Blvd & 5th Ave,member,89
Kedzie Ave & Harrison St,member,89
Stony Island Ave & 90th St,casual,89
Hamlin Ave & 62nd Pl,member,90
Monticello Ave & Chicago Ave,member,90
Public Rack - Harold Washington Park,member,90
